1,CUST019,CITY GARDEN GRAND HOTEL,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,"8008 Makati Ave. cor. Kalayaan Ave.,",Makati City,Metro Manila,Philippines,1200,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST020,CITY GARDEN SUITES MANILA,11701,single,TYP001,CLS001,Price1,VT,CASH,008-222-441-001,"1227 (or 1158) A. Mabini cor. Padre Faura St., Ermita",Manila,Metro Manila,Philippines,1004,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST021,CREEDON,11701,single,TYP001,CLS001,Price1,VT,CASH,008-614-759-000,"22 Emerald Ave, San Antonio, Pasig, Metro Manila / 18th floor, Wynsum Corporate Plaza, Ortigas Center",Pasig City,Metro Manila,Philippines,1605,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST022,DAE DUCK,11701,single,TYP001,CLS001,Price1,VT,CASH,004-842-467-000,Lot 1-13 Block 20 Phase IV Main Ave. PEZA,Rosario,Cavite,Philippines,4106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST023,ELECSYS,11701,single,TYP001,CLS001,Price1,VT,CASH,009-760-266-000,"Lot 1B, Block 6, Phase II,PEZA",Rosario,Cavite,Philippines,4106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST024,ELEMENTS HABITARE,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST025,E.M ANDOR BUILDERS ,11701,single,TYP001,CLS001,Price1,VT,CASH,288-491-546,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST026,EMR GROUP,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST027,EURO TOWERS,11701,single,TYP001,CLS001,Price1,VT,CASH,007-839-242-000," 3/F Vivaldi Residences, 628 EDSA cor. Aurora Blvd., Cubao",Quezon City,Metro Manila,Philippines,1109,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST028,FASTECH ADVANCED ASSEMBLY INC,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST029,FEXCO PHILIPPINES,11701,single,TYP001,CLS001,Price1,VT,CASH,008-965-777-000,"Unit 905, One Global Place Center, 25th Street corner 5th Avenue, Bonifacio Global City",Taguig City,Metro Manila,Philippines,1630,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST030,FIRST PACIFIC LEARNING ACADEMY,11701,single,TYP001,CLS001,Price1,VT,CASH,216-990-660-000,"Km 27, Sumulong Highway",Antipolo City,Metro Manila,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST031,FOOD PANDA,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST032,FORD CAINTA,11701,single,TYP001,CLS001,Price1,VT,CASH,008-193-458-000,AEON Bldg. Km 19 Ortigas Ave. Extension Brgy Sto. Nino,Cainta,Rizal,Philippines,1800,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST033,FORD EDSA,11701,single,TYP001,CLS001,Price1,VT,CASH,004-632--072-000,"No. 29 Edsa, Greenhills",San Juan,Metro Manila,Philippines,1502,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST034,FORD MAKATI,11701,single,TYP001,CLS001,Price1,VT,CASH,008-298-888-000,"2245 Pasong Tamo corner, Brgy Bangkal",Makati City,Metro Manila,Philippines,1233,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST035,FORTUNECROSS,11701,single,TYP001,CLS001,Price1,VT,CASH,229-795-734-000,"L14 B16, Phase 4, Main Road, PEZA",Rosario,Cavite,Philippines,4106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
